seed,mcnemar_rf_lr_p
698843271,1.0
1791653617,1.0
493240704,0.359283447265625
613678182,0.629058837890625
370267345,0.7265625
156269147,1.0
835823359,0.5034446716308594
143124570,0.049041748046875
593530112,0.109375
1955547732,0.0654296875
1299633696,0.8145294189453125
1319945545,0.4239501953125
951527159,1.0
533277282,0.30175781249999994
1844529903,0.6476058959960938
337779951,1.0
1605697108,0.2265625
393905665,0.7744140625
1089324843,0.5078125
1402323008,1.0
156949210,0.5810546875
1990994663,1.0
1580573371,0.14599609375
1151273762,1.0
813885346,0.548828125
707837483,0.2890625
1513453699,0.375
329302885,1.0
1215510387,1.0
2121254660,0.803619384765625
142124934,1.0
1782876137,0.5810546875
1400288726,0.79052734375
248965869,0.03857421875
1166397091,0.1796875
412440864,0.1796875
1249029682,0.3876953125
1552749702,1.0
679348496,1.0
1048923416,1.0
2145517570,0.803619384765625
692948886,0.1796875
381359917,1.0
386665897,0.01171875
1128844424,0.1795654296875
1506001768,0.5810546875
728785454,0.7265625
1249880050,0.803619384765625
372853081,0.454498291015625
2100356171,1.0
1527385356,0.266845703125
2079874157,0.063568115234375
1078366534,1.0
1061195275,1.0
1287232119,1.0
763552511,0.266845703125
656499585,0.75390625
1900277080,1.0
1783173823,0.34375
487784854,0.3876953125
1770968334,0.7744140625
287868995,0.1795654296875
2098831143,0.1796875
2126050261,0.453125
1948384257,1.0
1418454448,0.6476058959960938
1054775224,0.3876953125
1463816757,0.0654296875
1593675581,0.1796875
799733665,0.266845703125
1843054196,1.0
353984068,0.125
1750615352,1.0
360187555,0.4239501953125
279705469,1.0
1210164804,0.0703125
1477281101,1.0
1122277455,0.3876953125
1881193406,1.0
1130839594,0.5078125
234935008,1.0
57845001,1.0
1824463097,1.0
986807428,1.0
1230302164,0.803619384765625
1423898005,1.0
1973404817,0.11531829833984375
886792422,0.5078125
524437858,0.266845703125
2111427778,0.548828125
1143266066,0.79052734375
520155717,1.0
1570976675,1.0
47389880,1.0
1856805586,0.11846923828124999
333143030,0.7265625
1641657465,0.79052734375
1140918586,1.0
1500466889,1.0
1780940307,0.7265625
1711696198,0.79052734375
1326055937,1.0
17462500,1.0
2102715721,0.5810546875
2052392117,0.3876953125
4553630,0.7744140625
540622383,0.5810546875
920543739,0.7744140625
1886087851,0.3876953125
1638252046,0.0654296875
1185246075,0.5078125
350223570,0.79052734375
792482140,1.0
791752010,0.109375
396424486,0.00738525390625
8854162,0.3876953125
1913000454,0.34375
36721787,0.7265625
115592621,1.0
241868183,1.0
1343755192,0.75390625
1015057819,0.5078125
1951359289,1.0
104208179,1.0
928419030,0.79052734375
561176345,1.0
484670045,0.5810546875
534362164,1.0
233421513,1.0
1454460042,0.057373046875
103769033,0.237884521484375
84431613,1.0
369469125,1.0
1651425125,1.0
1524898506,0.109375
878408582,1.0
756597112,0.453125
750503008,1.0
1079436288,0.11846923828124999
864803182,0.548828125
678896695,0.109375
1186879765,1.0
2062125815,1.0
1030326948,0.4239501953125
1193753799,0.75390625
312745439,0.210113525390625
1927950892,0.2890625
354207689,0.7744140625
1921762059,0.0224609375
315790489,0.7744140625
277214475,0.021484375
773877917,1.0
301368534,0.332305908203125
1437068220,0.2265625
2053435858,1.0
1118481775,0.7744140625
243021692,1.0
22815287,0.34375
1725312552,1.0
394709803,0.057373046875
534129526,1.0
118154545,1.0
2038988206,0.7744140625
1062338532,0.7744140625
554368842,1.0
2127924446,0.2265625
1178602542,0.7265625
888174189,0.03857421875
242509716,0.548828125
1961698358,0.5810546875
1272992118,0.4239501953125
59374124,0.11846923828124999
1917856656,0.0703125
1698029982,1.0
1034334200,1.0
66199423,0.7744140625
1997466222,0.7744140625
121376839,0.237884521484375
2130702841,0.03857421875
1736081903,0.266845703125
2068501578,0.79052734375
1294390893,0.8145294189453125
1660038460,0.4239501953125
1363611450,0.7744140625
1585433823,0.14599609375
668852678,1.0
1586237306,1.0
1582534102,0.109375
1734430177,0.6875
1318253049,0.34375
1454353809,0.2265625
1119311578,0.332305908203125
790568255,1.0
1340530909,1.0
1586285802,0.79052734375
283036843,0.7265625
1716623761,0.75390625
1736585609,0.75390625
265669499,0.34375
2106707916,1.0
888262545,0.6072387695312499
81049871,0.75390625
1079361667,0.14599609375
849051646,0.2265625
1152013290,0.5810546875
1406946167,0.14599609375
1408550762,0.4239501953125
