seed,scale_decision_tree,scale_logistic_regression,scale_random_forest,scale_svm,impute_rf,xgb_native,xgb_full,xgb_train
698843271,0.0,0.0,0.0,0.0,0.0,0.8804347826086957,0.8913043478260869,0.8913043478260869
1791653617,0.0,0.0,-0.005434782608695565,0.0,0.005434782608695676,0.8532608695652174,0.8478260869565217,0.842391304347826
493240704,-0.005434782608695676,0.0,0.0,-0.010869565217391242,0.0,0.8804347826086957,0.8315217391304348,0.8315217391304348
613678182,-0.005434782608695676,0.0,-0.005434782608695676,0.0,0.010869565217391242,0.8641304347826086,0.8695652173913043,0.8586956521739131
370267345,0.005434782608695565,0.0,0.0,0.0,0.0,0.8097826086956522,0.8043478260869565,0.8043478260869565
156269147,0.010869565217391242,0.0,0.005434782608695676,0.0,-0.005434782608695676,0.9021739130434783,0.8858695652173914,0.8858695652173914
835823359,0.005434782608695676,0.0,0.0,0.0,0.005434782608695565,0.8586956521739131,0.8369565217391305,0.8369565217391305
143124570,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.875,0.875
593530112,0.0,0.0,0.0,0.0,0.010869565217391353,0.8804347826086957,0.8858695652173914,0.875
1955547732,-0.005434782608695565,0.0,0.005434782608695676,0.0,0.0,0.8532608695652174,0.8586956521739131,0.8586956521739131
1299633696,0.005434782608695565,0.0,0.0,0.0,-0.005434782608695676,0.842391304347826,0.8586956521739131,0.8478260869565217
1319945545,-0.005434782608695676,0.0,0.0,0.0,0.0,0.907608695652174,0.9021739130434783,0.9021739130434783
951527159,0.0,0.0,0.0,0.0,0.0,0.842391304347826,0.8369565217391305,0.8478260869565217
533277282,0.0,0.0,0.0,0.0,-0.016304347826086918,0.8858695652173914,0.8913043478260869,0.8858695652173914
1844529903,0.0,0.0,-0.005434782608695676,0.0,-0.005434782608695676,0.8586956521739131,0.8695652173913043,0.8641304347826086
337779951,0.005434782608695676,0.0,0.0,0.0,0.005434782608695565,0.8532608695652174,0.8369565217391305,0.8315217391304348
1605697108,0.005434782608695676,0.0,0.005434782608695676,0.0,0.005434782608695676,0.8913043478260869,0.8804347826086957,0.875
393905665,-0.005434782608695676,0.0,0.0,0.0,0.0,0.8858695652173914,0.875,0.8695652173913043
1089324843,0.0,0.0,-0.005434782608695676,0.0,0.005434782608695676,0.8858695652173914,0.875,0.8641304347826086
1402323008,0.0,0.0,0.0,0.0,0.005434782608695676,0.8586956521739131,0.8369565217391305,0.842391304347826
156949210,0.010869565217391353,0.0,0.010869565217391242,0.0,0.0,0.8641304347826086,0.8913043478260869,0.8913043478260869
1990994663,0.0,0.0,0.0,0.0,0.0,0.8586956521739131,0.8586956521739131,0.8586956521739131
1580573371,0.005434782608695676,0.0,0.005434782608695565,0.0,0.0,0.7989130434782609,0.8152173913043478,0.8260869565217391
1151273762,0.0,0.0,0.0,0.0,0.0,0.8641304347826086,0.8532608695652174,0.875
813885346,-0.010869565217391242,0.0,0.0,0.0,0.005434782608695676,0.8641304347826086,0.8315217391304348,0.842391304347826
707837483,0.010869565217391353,0.0,0.005434782608695565,0.005434782608695565,0.0,0.875,0.8695652173913043,0.8695652173913043
1513453699,-0.005434782608695565,0.0,0.0,0.0,0.0,0.8804347826086957,0.8695652173913043,0.8804347826086957
329302885,0.0,0.0,0.0,0.0,0.0,0.842391304347826,0.8641304347826086,0.875
