seed,published,reverted,filled_removed,control
698843271,0.8967391304347826,0.8206521739130435,0.7983870967741935,0.8913043478260869
1791653617,0.8260869565217391,0.7717391304347826,0.8306451612903226,0.8369565217391305
493240704,0.8804347826086957,0.7880434782608695,0.8548387096774194,0.8913043478260869
613678182,0.8858695652173914,0.7989130434782609,0.8306451612903226,0.8804347826086957
370267345,0.7934782608695652,0.7282608695652174,0.7903225806451613,0.7934782608695652
156269147,0.8967391304347826,0.7989130434782609,0.782258064516129,0.907608695652174
835823359,0.8586956521739131,0.7989130434782609,0.7903225806451613,0.8532608695652174
143124570,0.9130434782608695,0.7663043478260869,0.8145161290322581,0.9130434782608695
593530112,0.8913043478260869,0.7989130434782609,0.8145161290322581,0.8967391304347826
1955547732,0.875,0.782608695652174,0.7903225806451613,0.8967391304347826
1299633696,0.8586956521739131,0.8043478260869565,0.8064516129032258,0.8315217391304348
1319945545,0.9130434782608695,0.8641304347826086,0.8387096774193549,0.9239130434782609
951527159,0.8695652173913043,0.8152173913043478,0.8145161290322581,0.8586956521739131
533277282,0.8695652173913043,0.7608695652173914,0.8306451612903226,0.8641304347826086
1844529903,0.8858695652173914,0.75,0.8387096774193549,0.8804347826086957
337779951,0.8586956521739131,0.8152173913043478,0.8629032258064516,0.8641304347826086
1605697108,0.9239130434782609,0.8315217391304348,0.8145161290322581,0.9239130434782609
393905665,0.8858695652173914,0.8043478260869565,0.7741935483870968,0.9021739130434783
1089324843,0.9021739130434783,0.8260869565217391,0.7983870967741935,0.8967391304347826
1402323008,0.8695652173913043,0.782608695652174,0.8306451612903226,0.8858695652173914
156949210,0.8858695652173914,0.8043478260869565,0.7983870967741935,0.8967391304347826
1990994663,0.8586956521739131,0.782608695652174,0.8064516129032258,0.8695652173913043
1580573371,0.8315217391304348,0.782608695652174,0.8306451612903226,0.842391304347826
1151273762,0.8695652173913043,0.8315217391304348,0.8064516129032258,0.8641304347826086
813885346,0.8478260869565217,0.7934782608695652,0.8064516129032258,0.8641304347826086
707837483,0.875,0.7934782608695652,0.8064516129032258,0.8913043478260869
1513453699,0.8804347826086957,0.8369565217391305,0.8064516129032258,0.8967391304347826
329302885,0.8586956521739131,0.7880434782608695,0.7903225806451613,0.8532608695652174
1215510387,0.8532608695652174,0.7391304347826086,0.8387096774193549,0.8586956521739131
2121254660,0.8532608695652174,0.8206521739130435,0.8387096774193549,0.8478260869565217
142124934,0.875,0.7989130434782609,0.8064516129032258,0.8695652173913043
1782876137,0.8586956521739131,0.782608695652174,0.8387096774193549,0.842391304347826
1400288726,0.8586956521739131,0.7989130434782609,0.8629032258064516,0.8532608695652174
248965869,0.8097826086956522,0.7391304347826086,0.8306451612903226,0.8152173913043478
1166397091,0.8369565217391305,0.7880434782608695,0.782258064516129,0.8532608695652174
412440864,0.9130434782608695,0.842391304347826,0.8387096774193549,0.9184782608695652
1249029682,0.9021739130434783,0.8206521739130435,0.7580645161290323,0.8967391304347826
1552749702,0.875,0.8097826086956522,0.8064516129032258,0.8804347826086957
679348496,0.8315217391304348,0.782608695652174,0.7741935483870968,0.8478260869565217
1048923416,0.8641304347826086,0.8097826086956522,0.8548387096774194,0.8641304347826086
2145517570,0.8152173913043478,0.7717391304347826,0.8548387096774194,0.842391304347826
692948886,0.842391304347826,0.8206521739130435,0.8145161290322581,0.8641304347826086
381359917,0.875,0.8043478260869565,0.8064516129032258,0.8586956521739131
386665897,0.842391304347826,0.782608695652174,0.8629032258064516,0.8478260869565217
1128844424,0.8695652173913043,0.8478260869565217,0.7903225806451613,0.8532608695652174
1506001768,0.8586956521739131,0.7934782608695652,0.782258064516129,0.8641304347826086
728785454,0.8315217391304348,0.7663043478260869,0.7903225806451613,0.8097826086956522
1249880050,0.8532608695652174,0.7989130434782609,0.8145161290322581,0.8586956521739131
372853081,0.8695652173913043,0.7717391304347826,0.8306451612903226,0.8641304347826086
2100356171,0.842391304347826,0.7771739130434783,0.8225806451612904,0.8369565217391305
1527385356,0.7934782608695652,0.7445652173913043,0.782258064516129,0.7934782608695652
2079874157,0.8804347826086957,0.7934782608695652,0.8467741935483871,0.8913043478260869
1078366534,0.8478260869565217,0.7771739130434783,0.8225806451612904,0.8532608695652174
1061195275,0.8478260869565217,0.8097826086956522,0.8548387096774194,0.842391304347826
1287232119,0.842391304347826,0.7445652173913043,0.8225806451612904,0.8532608695652174
763552511,0.8641304347826086,0.7880434782608695,0.8306451612903226,0.8478260869565217
656499585,0.8532608695652174,0.7717391304347826,0.7903225806451613,0.875
1900277080,0.8478260869565217,0.8043478260869565,0.7983870967741935,0.8641304347826086
1783173823,0.8586956521739131,0.75,0.8306451612903226,0.8532608695652174
487784854,0.8532608695652174,0.7771739130434783,0.782258064516129,0.8586956521739131
1770968334,0.8369565217391305,0.7989130434782609,0.8306451612903226,0.842391304347826
287868995,0.875,0.7717391304347826,0.8467741935483871,0.8967391304347826
2098831143,0.8532608695652174,0.7445652173913043,0.782258064516129,0.8369565217391305
2126050261,0.875,0.7989130434782609,0.8306451612903226,0.8858695652173914
1948384257,0.8206521739130435,0.7282608695652174,0.8225806451612904,0.8315217391304348
1418454448,0.8641304347826086,0.7989130434782609,0.7983870967741935,0.8586956521739131
1054775224,0.8478260869565217,0.75,0.8306451612903226,0.8641304347826086
1463816757,0.9184782608695652,0.8532608695652174,0.8064516129032258,0.9239130434782609
1593675581,0.8804347826086957,0.8206521739130435,0.8709677419354839,0.907608695652174
799733665,0.8315217391304348,0.7717391304347826,0.7661290322580645,0.8260869565217391
1843054196,0.8586956521739131,0.782608695652174,0.7661290322580645,0.8532608695652174
353984068,0.8641304347826086,0.782608695652174,0.8629032258064516,0.8695652173913043
1750615352,0.8804347826086957,0.7880434782608695,0.8306451612903226,0.8967391304347826
360187555,0.875,0.7880434782608695,0.8467741935483871,0.8967391304347826
279705469,0.875,0.8369565217391305,0.8709677419354839,0.8858695652173914
1210164804,0.8695652173913043,0.7880434782608695,0.782258064516129,0.8804347826086957
1477281101,0.8695652173913043,0.8043478260869565,0.8064516129032258,0.8804347826086957
1122277455,0.8478260869565217,0.8043478260869565,0.8306451612903226,0.8641304347826086
1881193406,0.8478260869565217,0.782608695652174,0.782258064516129,0.8369565217391305
1130839594,0.8858695652173914,0.7989130434782609,0.8145161290322581,0.8913043478260869
234935008,0.8478260869565217,0.7880434782608695,0.7741935483870968,0.8478260869565217
57845001,0.8858695652173914,0.8097826086956522,0.8387096774193549,0.8913043478260869
1824463097,0.8641304347826086,0.8043478260869565,0.8467741935483871,0.8858695652173914
986807428,0.8206521739130435,0.7554347826086957,0.8629032258064516,0.8532608695652174
1230302164,0.8641304347826086,0.782608695652174,0.8225806451612904,0.8641304347826086
1423898005,0.8967391304347826,0.7934782608695652,0.8790322580645161,0.8858695652173914
1973404817,0.8369565217391305,0.7880434782608695,0.8306451612903226,0.8369565217391305
886792422,0.9021739130434783,0.8369565217391305,0.8225806451612904,0.9021739130434783
524437858,0.8967391304347826,0.842391304347826,0.8387096774193549,0.9130434782608695
2111427778,0.8641304347826086,0.7445652173913043,0.8306451612903226,0.8804347826086957
1143266066,0.8315217391304348,0.7554347826086957,0.8145161290322581,0.842391304347826
520155717,0.907608695652174,0.8315217391304348,0.7661290322580645,0.8967391304347826
1570976675,0.875,0.8097826086956522,0.8145161290322581,0.875
47389880,0.8315217391304348,0.7880434782608695,0.782258064516129,0.8586956521739131
1856805586,0.8804347826086957,0.7554347826086957,0.7903225806451613,0.8858695652173914
333143030,0.8804347826086957,0.8043478260869565,0.8225806451612904,0.8804347826086957
1641657465,0.8858695652173914,0.7608695652173914,0.8790322580645161,0.875
1140918586,0.8804347826086957,0.7989130434782609,0.8629032258064516,0.8695652173913043
1500466889,0.8641304347826086,0.7989130434782609,0.8145161290322581,0.8695652173913043
1780940307,0.8804347826086957,0.8043478260869565,0.8467741935483871,0.8804347826086957
1711696198,0.8260869565217391,0.7771739130434783,0.8709677419354839,0.8478260869565217
1326055937,0.8586956521739131,0.7934782608695652,0.8548387096774194,0.842391304347826
17462500,0.8858695652173914,0.8043478260869565,0.8467741935483871,0.8858695652173914
2102715721,0.8586956521739131,0.7717391304347826,0.8145161290322581,0.8641304347826086
2052392117,0.8858695652173914,0.8152173913043478,0.7903225806451613,0.9021739130434783
4553630,0.8804347826086957,0.8097826086956522,0.8629032258064516,0.8967391304347826
540622383,0.9021739130434783,0.8315217391304348,0.8225806451612904,0.8804347826086957
920543739,0.8913043478260869,0.8206521739130435,0.8145161290322581,0.8913043478260869
1886087851,0.875,0.7880434782608695,0.8225806451612904,0.8804347826086957
1638252046,0.8804347826086957,0.8315217391304348,0.8306451612903226,0.8858695652173914
1185246075,0.907608695652174,0.8532608695652174,0.9193548387096774,0.9021739130434783
350223570,0.8858695652173914,0.8315217391304348,0.8387096774193549,0.8804347826086957
792482140,0.8315217391304348,0.7934782608695652,0.7903225806451613,0.8532608695652174
791752010,0.8641304347826086,0.8097826086956522,0.8225806451612904,0.8858695652173914
396424486,0.8532608695652174,0.7663043478260869,0.8145161290322581,0.8804347826086957
8854162,0.8695652173913043,0.7554347826086957,0.7661290322580645,0.8695652173913043
1913000454,0.8586956521739131,0.7228260869565217,0.8225806451612904,0.8478260869565217
36721787,0.8967391304347826,0.8097826086956522,0.7419354838709677,0.8967391304347826
115592621,0.9130434782608695,0.8152173913043478,0.8387096774193549,0.907608695652174
241868183,0.842391304347826,0.7717391304347826,0.782258064516129,0.8532608695652174
1343755192,0.8478260869565217,0.8152173913043478,0.7338709677419355,0.8532608695652174
1015057819,0.8369565217391305,0.7554347826086957,0.8467741935483871,0.8206521739130435
