seed,random,grouped,contamination
698843271,0.8907563025210085,0.7801724137931034,0.41596638655462187
1791653617,0.8697478991596639,0.8296943231441049,0.38235294117647056
493240704,0.8445378151260504,0.8277310924369747,0.3067226890756303
613678182,0.8487394957983193,0.7510373443983402,0.35294117647058826
370267345,0.8739495798319328,0.8111587982832618,0.3865546218487395
156269147,0.8529411764705882,0.7682403433476395,0.3319327731092437
835823359,0.8361344537815126,0.7669491525423728,0.35714285714285715
143124570,0.8445378151260504,0.7791666666666667,0.37815126050420167
593530112,0.8361344537815126,0.8,0.35714285714285715
1955547732,0.8319327731092437,0.8145161290322581,0.35714285714285715
1299633696,0.8403361344537815,0.78099173553719,0.31512605042016806
1319945545,0.8445378151260504,0.8099173553719008,0.3949579831932773
951527159,0.8991596638655462,0.8117154811715481,0.3739495798319328
533277282,0.8907563025210085,0.7701612903225806,0.3487394957983193
1844529903,0.8739495798319328,0.74235807860262,0.3907563025210084
337779951,0.9033613445378151,0.7672413793103449,0.39915966386554624
1605697108,0.8823529411764706,0.7605042016806722,0.38235294117647056
393905665,0.8949579831932774,0.8085106382978723,0.40756302521008403
1089324843,0.8529411764705882,0.7829787234042553,0.36134453781512604
1402323008,0.8445378151260504,0.7916666666666666,0.3277310924369748
156949210,0.865546218487395,0.7416666666666667,0.3445378151260504
1990994663,0.8487394957983193,0.7815126050420168,0.36134453781512604
1580573371,0.8991596638655462,0.7377777777777778,0.40756302521008403
1151273762,0.8277310924369747,0.7391304347826086,0.31512605042016806
813885346,0.9201680672268907,0.7773109243697479,0.3403361344537815
707837483,0.8529411764705882,0.8227848101265823,0.36134453781512604
1513453699,0.8529411764705882,0.7866108786610879,0.35714285714285715
329302885,0.8403361344537815,0.8025751072961373,0.3319327731092437
1215510387,0.8445378151260504,0.7824267782426778,0.3697478991596639
2121254660,0.8613445378151261,0.8170212765957446,0.36134453781512604
142124934,0.9033613445378151,0.7851239669421488,0.35714285714285715
1782876137,0.8529411764705882,0.8165938864628821,0.36554621848739494
1400288726,0.8907563025210085,0.7142857142857143,0.33613445378151263
248965869,0.8865546218487395,0.7951807228915663,0.42436974789915966
1166397091,0.9285714285714286,0.7649572649572649,0.36554621848739494
412440864,0.8487394957983193,0.8099173553719008,0.3697478991596639
1249029682,0.8991596638655462,0.808695652173913,0.38235294117647056
1552749702,0.8991596638655462,0.8227848101265823,0.3949579831932773
679348496,0.8487394957983193,0.8059071729957806,0.3949579831932773
1048923416,0.9033613445378151,0.7983539094650206,0.41596638655462187
2145517570,0.8823529411764706,0.803347280334728,0.39915966386554624
692948886,0.8697478991596639,0.816,0.36554621848739494
381359917,0.8823529411764706,0.7654320987654321,0.35294117647058826
386665897,0.8991596638655462,0.8143459915611815,0.36554621848739494
1128844424,0.865546218487395,0.7918367346938775,0.3697478991596639
1506001768,0.9117647058823529,0.7958333333333333,0.4327731092436975
728785454,0.8991596638655462,0.7418032786885246,0.3487394957983193
1249880050,0.865546218487395,0.7644628099173554,0.38235294117647056
372853081,0.8907563025210085,0.7925311203319502,0.42436974789915966
2100356171,0.865546218487395,0.7448559670781894,0.3865546218487395
1527385356,0.8529411764705882,0.8034934497816594,0.36554621848739494
2079874157,0.8781512605042017,0.7875,0.3697478991596639
1078366534,0.8781512605042017,0.7792207792207793,0.38235294117647056
1061195275,0.8781512605042017,0.7291666666666666,0.3445378151260504
1287232119,0.865546218487395,0.7966101694915254,0.3949579831932773
763552511,0.8067226890756303,0.8208333333333333,0.3445378151260504
656499585,0.8823529411764706,0.8271604938271605,0.35294117647058826
1900277080,0.8907563025210085,0.8057851239669421,0.3487394957983193
