null_median,null_excess
0.9435483870967742,0.2983870967741936
0.9354838709677419,0.2903225806451613
0.9516129032258065,0.2983870967741936
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.2822580645161291
0.9435483870967742,0.2983870967741936
0.9354838709677419,0.29032258064516125
0.9274193548387096,0.2862903225806452
0.9435483870967742,0.2983870967741936
0.9516129032258065,0.30645161290322587
0.9435483870967742,0.2983870967741935
0.9354838709677419,0.29032258064516125
0.9435483870967742,0.2983870967741935
0.9435483870967742,0.2983870967741935
0.9354838709677419,0.29032258064516137
0.9435483870967742,0.2983870967741936
0.9354838709677419,0.29032258064516137
0.9354838709677419,0.29032258064516137
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.29032258064516137
0.9435483870967742,0.29032258064516137
0.9435483870967742,0.2983870967741936
0.9354838709677419,0.29032258064516137
0.9516129032258065,0.2983870967741936
0.9354838709677419,0.29032258064516125
0.9435483870967742,0.2983870967741935
0.9435483870967742,0.29032258064516137
0.9516129032258065,0.30645161290322587
0.9435483870967742,0.2983870967741935
0.9516129032258065,0.2983870967741936
0.9354838709677419,0.2822580645161291
0.9435483870967742,0.2983870967741936
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.29032258064516137
0.9435483870967742,0.29435483870967744
0.9354838709677419,0.29032258064516125
0.9516129032258065,0.30645161290322576
0.9435483870967742,0.29032258064516137
0.9516129032258065,0.30645161290322587
0.9354838709677419,0.29032258064516137
0.9435483870967742,0.2983870967741935
0.9435483870967742,0.2983870967741936
0.9435483870967742,0.2983870967741936
0.9354838709677419,0.29032258064516125
0.9354838709677419,0.29032258064516137
0.9435483870967742,0.2983870967741935
0.9435483870967742,0.29838709677419356
