seed,decision_tree,logistic_regression,random_forest,svm
698843271,0.7989130434782609,0.8913043478260869,0.8913043478260869,0.8858695652173914
1791653617,0.7880434782608695,0.8369565217391305,0.8369565217391305,0.842391304347826
493240704,0.8043478260869565,0.8641304347826086,0.8913043478260869,0.8804347826086957
613678182,0.7934782608695652,0.8641304347826086,0.8804347826086957,0.842391304347826
370267345,0.7391304347826086,0.8043478260869565,0.7934782608695652,0.8097826086956522
156269147,0.8152173913043478,0.9021739130434783,0.907608695652174,0.907608695652174
835823359,0.8043478260869565,0.8315217391304348,0.8532608695652174,0.842391304347826
143124570,0.8043478260869565,0.8641304347826086,0.9130434782608695,0.8695652173913043
593530112,0.7989130434782609,0.8641304347826086,0.8967391304347826,0.8804347826086957
1955547732,0.8097826086956522,0.8586956521739131,0.8967391304347826,0.8586956521739131
1299633696,0.8152173913043478,0.8206521739130435,0.8315217391304348,0.8532608695652174
1319945545,0.8532608695652174,0.9021739130434783,0.9239130434782609,0.9347826086956522
951527159,0.8260869565217391,0.8641304347826086,0.8586956521739131,0.8695652173913043
533277282,0.8260869565217391,0.8913043478260869,0.8641304347826086,0.8804347826086957
1844529903,0.782608695652174,0.8641304347826086,0.8804347826086957,0.875
337779951,0.8478260869565217,0.8586956521739131,0.8641304347826086,0.8586956521739131
1605697108,0.8206521739130435,0.8967391304347826,0.9239130434782609,0.9021739130434783
393905665,0.8152173913043478,0.8913043478260869,0.9021739130434783,0.875
1089324843,0.782608695652174,0.8804347826086957,0.8967391304347826,0.8804347826086957
1402323008,0.7934782608695652,0.8804347826086957,0.8858695652173914,0.8858695652173914
156949210,0.8315217391304348,0.8804347826086957,0.8967391304347826,0.875
1990994663,0.8152173913043478,0.8695652173913043,0.8695652173913043,0.8478260869565217
1580573371,0.782608695652174,0.8097826086956522,0.842391304347826,0.8315217391304348
1151273762,0.8369565217391305,0.8586956521739131,0.8641304347826086,0.8695652173913043
813885346,0.7608695652173914,0.8478260869565217,0.8641304347826086,0.8695652173913043
707837483,0.7989130434782609,0.8695652173913043,0.8913043478260869,0.8641304347826086
1513453699,0.8097826086956522,0.8804347826086957,0.8967391304347826,0.8967391304347826
329302885,0.842391304347826,0.8532608695652174,0.8532608695652174,0.8478260869565217
1215510387,0.7663043478260869,0.8586956521739131,0.8586956521739131,0.8641304347826086
2121254660,0.8043478260869565,0.8586956521739131,0.8478260869565217,0.8641304347826086
142124934,0.8043478260869565,0.8695652173913043,0.8695652173913043,0.8804347826086957
1782876137,0.7663043478260869,0.8586956521739131,0.842391304347826,0.8695652173913043
1400288726,0.7554347826086957,0.842391304347826,0.8532608695652174,0.8641304347826086
248965869,0.7663043478260869,0.8586956521739131,0.8152173913043478,0.842391304347826
1166397091,0.7663043478260869,0.8804347826086957,0.8532608695652174,0.8532608695652174
412440864,0.8097826086956522,0.8913043478260869,0.9184782608695652,0.9021739130434783
1249029682,0.8206521739130435,0.875,0.8967391304347826,0.875
1552749702,0.8097826086956522,0.8804347826086957,0.8804347826086957,0.875
679348496,0.8260869565217391,0.8532608695652174,0.8478260869565217,0.8315217391304348
1048923416,0.7989130434782609,0.8641304347826086,0.8641304347826086,0.8641304347826086
2145517570,0.7717391304347826,0.8532608695652174,0.842391304347826,0.8478260869565217
692948886,0.8260869565217391,0.8913043478260869,0.8641304347826086,0.875
381359917,0.7771739130434783,0.8641304347826086,0.8586956521739131,0.8695652173913043
386665897,0.7663043478260869,0.7989130434782609,0.8478260869565217,0.842391304347826
1128844424,0.8043478260869565,0.8858695652173914,0.8532608695652174,0.9021739130434783
1506001768,0.7608695652173914,0.8478260869565217,0.8641304347826086,0.8641304347826086
728785454,0.7608695652173914,0.8206521739130435,0.8097826086956522,0.8206521739130435
1249880050,0.7934782608695652,0.8478260869565217,0.8586956521739131,0.8478260869565217
372853081,0.782608695652174,0.842391304347826,0.8641304347826086,0.8532608695652174
2100356171,0.7608695652173914,0.8315217391304348,0.8369565217391305,0.8260869565217391
1527385356,0.7282608695652174,0.8206521739130435,0.7934782608695652,0.8097826086956522
2079874157,0.8043478260869565,0.842391304347826,0.8913043478260869,0.8695652173913043
1078366534,0.7336956521739131,0.8478260869565217,0.8532608695652174,0.8260869565217391
1061195275,0.7554347826086957,0.842391304347826,0.842391304347826,0.8369565217391305
1287232119,0.7989130434782609,0.8478260869565217,0.8532608695652174,0.842391304347826
763552511,0.7608695652173914,0.8206521739130435,0.8478260869565217,0.8532608695652174
656499585,0.7934782608695652,0.8858695652173914,0.875,0.875
1900277080,0.7771739130434783,0.8695652173913043,0.8641304347826086,0.8641304347826086
1783173823,0.8097826086956522,0.8315217391304348,0.8532608695652174,0.8478260869565217
487784854,0.7771739130434783,0.8369565217391305,0.8586956521739131,0.8586956521739131
1770968334,0.7663043478260869,0.8532608695652174,0.842391304347826,0.842391304347826
287868995,0.8260869565217391,0.8641304347826086,0.8967391304347826,0.8478260869565217
2098831143,0.7336956521739131,0.8641304347826086,0.8369565217391305,0.842391304347826
2126050261,0.8097826086956522,0.8695652173913043,0.8858695652173914,0.8695652173913043
1948384257,0.7771739130434783,0.8369565217391305,0.8315217391304348,0.8532608695652174
1418454448,0.7934782608695652,0.875,0.8586956521739131,0.8695652173913043
1054775224,0.7880434782608695,0.842391304347826,0.8641304347826086,0.8586956521739131
1463816757,0.8260869565217391,0.8858695652173914,0.9239130434782609,0.9130434782608695
1593675581,0.7989130434782609,0.8804347826086957,0.907608695652174,0.8804347826086957
799733665,0.717391304347826,0.7989130434782609,0.8260869565217391,0.8260869565217391
1843054196,0.7989130434782609,0.8586956521739131,0.8532608695652174,0.8369565217391305
353984068,0.842391304347826,0.8478260869565217,0.8695652173913043,0.8695652173913043
1750615352,0.8043478260869565,0.9021739130434783,0.8967391304347826,0.8532608695652174
360187555,0.782608695652174,0.875,0.8967391304347826,0.875
279705469,0.7934782608695652,0.8858695652173914,0.8858695652173914,0.8586956521739131
1210164804,0.7989130434782609,0.8478260869565217,0.8804347826086957,0.8641304347826086
1477281101,0.8206521739130435,0.875,0.8804347826086957,0.8804347826086957
1122277455,0.8043478260869565,0.8858695652173914,0.8641304347826086,0.8641304347826086
1881193406,0.782608695652174,0.8369565217391305,0.8369565217391305,0.8478260869565217
1130839594,0.7663043478260869,0.907608695652174,0.8913043478260869,0.9130434782608695
234935008,0.7717391304347826,0.8532608695652174,0.8478260869565217,0.8532608695652174
57845001,0.8043478260869565,0.8858695652173914,0.8913043478260869,0.8804347826086957
1824463097,0.7554347826086957,0.8913043478260869,0.8858695652173914,0.8478260869565217
986807428,0.7282608695652174,0.8478260869565217,0.8532608695652174,0.8260869565217391
1230302164,0.8369565217391305,0.8532608695652174,0.8641304347826086,0.8532608695652174
1423898005,0.7934782608695652,0.8913043478260869,0.8858695652173914,0.8967391304347826
1973404817,0.782608695652174,0.8804347826086957,0.8369565217391305,0.8641304347826086
886792422,0.8152173913043478,0.8858695652173914,0.9021739130434783,0.907608695652174
524437858,0.8369565217391305,0.8858695652173914,0.9130434782608695,0.9184782608695652
2111427778,0.7771739130434783,0.8641304347826086,0.8804347826086957,0.8913043478260869
1143266066,0.75,0.8315217391304348,0.842391304347826,0.8478260869565217
520155717,0.8152173913043478,0.8967391304347826,0.8967391304347826,0.907608695652174
1570976675,0.8206521739130435,0.8804347826086957,0.875,0.8913043478260869
47389880,0.7989130434782609,0.8586956521739131,0.8586956521739131,0.8532608695652174
1856805586,0.7554347826086957,0.8478260869565217,0.8858695652173914,0.8804347826086957
333143030,0.8369565217391305,0.8913043478260869,0.8804347826086957,0.8804347826086957
1641657465,0.75,0.8641304347826086,0.875,0.875
1140918586,0.7989130434782609,0.875,0.8695652173913043,0.8913043478260869
1500466889,0.8206521739130435,0.8641304347826086,0.8695652173913043,0.8695652173913043
1780940307,0.8043478260869565,0.8695652173913043,0.8804347826086957,0.8641304347826086
1711696198,0.8260869565217391,0.8369565217391305,0.8478260869565217,0.8369565217391305
1326055937,0.8369565217391305,0.8478260869565217,0.842391304347826,0.8532608695652174
17462500,0.8315217391304348,0.8858695652173914,0.8858695652173914,0.8532608695652174
2102715721,0.7771739130434783,0.8478260869565217,0.8641304347826086,0.842391304347826
2052392117,0.7934782608695652,0.8804347826086957,0.9021739130434783,0.907608695652174
4553630,0.8206521739130435,0.8858695652173914,0.8967391304347826,0.8967391304347826
540622383,0.7934782608695652,0.8967391304347826,0.8804347826086957,0.8478260869565217
920543739,0.7445652173913043,0.8804347826086957,0.8913043478260869,0.8858695652173914
1886087851,0.7989130434782609,0.8586956521739131,0.8804347826086957,0.8641304347826086
1638252046,0.8315217391304348,0.8478260869565217,0.8858695652173914,0.875
1185246075,0.7880434782608695,0.8858695652173914,0.9021739130434783,0.8913043478260869
350223570,0.7934782608695652,0.8913043478260869,0.8804347826086957,0.8858695652173914
792482140,0.782608695652174,0.8586956521739131,0.8532608695652174,0.8695652173913043
791752010,0.8043478260869565,0.8532608695652174,0.8858695652173914,0.8641304347826086
396424486,0.7880434782608695,0.8206521739130435,0.8804347826086957,0.8260869565217391
8854162,0.7771739130434783,0.8478260869565217,0.8695652173913043,0.8532608695652174
1913000454,0.7771739130434783,0.8260869565217391,0.8478260869565217,0.8586956521739131
36721787,0.8260869565217391,0.8858695652173914,0.8967391304347826,0.8913043478260869
115592621,0.8260869565217391,0.907608695652174,0.907608695652174,0.9239130434782609
241868183,0.7717391304347826,0.8532608695652174,0.8532608695652174,0.8586956521739131
1343755192,0.7934782608695652,0.842391304347826,0.8532608695652174,0.8532608695652174
1015057819,0.7608695652173914,0.8369565217391305,0.8206521739130435,0.842391304347826
1951359289,0.8206521739130435,0.8641304347826086,0.8695652173913043,0.8695652173913043
104208179,0.8152173913043478,0.875,0.8804347826086957,0.8858695652173914
928419030,0.7608695652173914,0.8586956521739131,0.8478260869565217,0.8532608695652174
561176345,0.8369565217391305,0.8913043478260869,0.8858695652173914,0.8858695652173914
484670045,0.7934782608695652,0.8532608695652174,0.8695652173913043,0.8478260869565217
534362164,0.7663043478260869,0.875,0.875,0.8695652173913043
